PLOT	N_trees	ht_mean	htlc_mean	dbh_mean	ht_ft	dbh_in	Vol_plot	ground_count	veg_count	all_count	hlc_count	veg_mean	veg_stdv	veg_coeff_var	veg_10	veg_20	veg_25	veg_40	veg_50	veg_75	veg_90	all_aveg	all_stdev	all_coeff_var	all_10	all_20	all_25	all_40	all_50	all_75	all_90
3	63	22.29926476	17.8361219	22.20080952	73.15942783	8.74045871	13.31525858	317	1320	1409	1181	19.00321212	5.515996077	29.02665108	12.81	18.605	19.01	20.06	20.63	21.86	22.835	17.8292193	6.997311839	39.24631651	2.33	17.9	18.6	19.78	20.48	21.78	22.79
4	62	22.00754323	15.76700903	20.63545161	72.20234782	8.1241773	11.40464153	81	1760	1779	1177	15.89551136	5.887370075	37.03794071	6.44	8.43	9.8	17.245	18.47	20.39	21.68	15.72912872	6.070969523	38.59698544	6.3	8.26	9.63	17.15	18.4	20.36	21.67
5	62	22.74692903	16.23256645	21.7460871	74.62812477	8.56143449	13.0392819	295	2344	2472	1917	17.57280717	6.179626713	35.16584831	4.26	16.45	17.895	19.23	19.84	21.19	22.27	16.68115291	7.125747178	42.71735422	2.63	11.16	16.89	19.01	19.69	21.105	22.24
6	46	23.39671304	15.16181217	24.24706087	76.75993615	9.546067864	16.57688758	131	3210	3256	2282	16.77520249	5.234875959	31.20603737	8.31	11.405	13.45	17.28	18.615	20.75	22.03	16.54296376	5.548133174	33.53772187	7.91	11.06	13.05	17.12	18.57	20.72	22.01
9	64	23.80107	16.93592625	22.93421563	78.08655046	9.029200692	15.1180394	154	1526	1560	1142	17.07899083	7.067222389	41.37962518	4.18	7.03	14.69	19.39	20.32	21.86	23	16.71669872	7.399486152	44.26403967	3.865	6.115	12.19	19.245	20.25	21.85	22.98
10	62	22.40329161	16.14014323	21.82720323	73.50071912	8.59336991	12.94098422	83	1612	1627	1173	17.22523573	4.940891677	28.68402937	9.21	12.49	13.92	18.27	18.98	20.79	21.97	17.06907806	5.177784959	30.33429774	8.89	12.23	13.54	18.24	18.92	20.78	21.95
11	64	22.99858875	17.11975875	22.939375	75.45376997	9.031231938	14.62649346	143	2741	2794	1980	16.53706312	6.510928574	39.37173444	4.44	9.31	13.86	18.38	19.27	21.03	22.44	16.23100573	6.814293934	41.98318976	4.14	8.07	12.77	18.26	19.2	20.98	22.41
12	58	21.09005793	15.35771586	20.20613793	69.19226206	7.955156503	10.50745309	186	3566	3638	2643	16.42426528	4.764363011	29.0080739	8.56	12.29	14.51	17.21	18.02	19.69	20.98	16.10622595	5.221227902	32.41745099	7.75	11.7	13.82	17.12	17.95	19.64	20.96
13	63	20.82558095	14.91729905	19.64669841	68.32456599	7.734905165	9.83227549	152	1640	1665	1108	15.17865244	5.560140828	36.63132054	6.3	8.325	9.705	16.8	17.65	19.325	20.41	14.95621622	5.805069587	38.81375813	5.81	8.045	9.27	16.61	17.63	19.3	20.4
14	63	21.12118857	15.80170286	20.86831746	69.29439547	8.215856584	11.20019046	422	1276	1360	1184	18.43005486	3.685736715	19.99851191	16.3	17.72	18.02	18.78	19.13	20.295	21.17	17.31429412	5.627770528	32.50360939	6.375	17.135	17.72	18.605	19.03	20.235	21.13
15	29	20.75057379	13.48161931	19.92235862	68.0784825	7.843432589	10.06514745	76	1570	1581	942	14.8513758	3.838423021	25.84557198	8.93	11.44	12.51	14.995	15.78	17.66	19.055	14.7500506	4.012138102	27.20084297	8.73	11.37	12.41	14.97	15.77	17.65	19.04
16	60	21.062188	17.633696	22.8219	69.10082639	8.98498203	13.29076684	256	1310	1392	1139	17.47749618	4.532516977	25.93344567	12.64	16.675	17.23	18.3	18.82	19.98	20.895	16.47110632	5.96047695	36.18747177	4.42	15.78	16.695	18.09	18.65	19.89	20.86
17	69	21.94604174	15.45203478	21.61024638	72.00057374	8.507953999	12.43997373	242	1376	1433	1137	17.02298692	5.459069266	32.06880962	6.21	16.54	17.24	18.38	18.94	20.215	21.17	16.36094906	6.261320224	38.26990844	3.98	14.41	16.87	18.22	18.84	20.17	21.12
18	38	20.06706947	13.25639368	19.76521053	65.83604153	7.781563384	9.597440551	82	1528	1548	867	14.47499346	3.885337827	26.84172424	8.48	10.22	11.77	14.75	15.455	17.315	18.74	14.29138889	4.180656715	29.25297707	8.18	10.02	11.385	14.69	15.41	17.28	18.74
19	51	22.54384471	15.43662588	21.78423529	73.96184571	8.576453435	12.97014644	369	1255	1346	982	16.59816733	5.107142759	30.76931722	6.43	14.51	15.68	17.585	18.35	19.84	20.79	15.50311293	6.393061472	41.23727604	2.79	12.36	14.34	17.15	18.075	19.76	20.73
20	71	21.76958873	15.40141521	19.39343662	71.42166671	7.635195997	10.00822227	204	1347	1380	943	14.90048255	5.817430793	39.04189527	4.59	7.68	10.94	16.73	17.47	18.99	19.98	14.55247101	6.162846107	42.34913851	4.075	6.915	8.77	16.6	17.405	18.97	19.925
24	63	20.01955429	14.06869714	20.75946032	65.6801537	8.172999527	10.52717075	331	1403	1553	1098	15.18156807	5.224834335	34.41564344	4.02	14.72	15.34	16.48	16.98	18.21	19.11	13.76002576	6.601381552	47.97506683	1.05	4.63	13.67	16.11	16.72	18.07	19.04
25	20	18.452592	12.4206	19.2532	60.53926383	7.57998484	8.418421849	92	1362	1390	726	14.27830396	3.747697915	26.24750057	8.31	11.52	12.55	14.49	15.26	16.88	18.19	13.99705036	4.196788181	29.98337559	7.755	11.125	12.28	14.395	15.185	16.84	18.175
26	58	21.3391531	15.54900414	20.00031034	70.0094935	7.874122183	10.41909793	169	1782	1823	1171	15.16485971	5.369412179	35.40693605	5.97	9.25	10.89	16.53	17.44	19.13	20.42	14.8312452	5.746519171	38.74603308	5.62	8.51	10.23	16.4	17.31	19.08	20.4
27	61	23.3261941	17.38559213	22.23540984	76.5285776	8.754080852	13.95471101	317	1264	1399	1144	19.55338608	4.238801903	21.6780965	15.59	18.54	19.02	20.03	20.53	21.91	22.88	17.70496783	6.94613131	39.23266834	1.14	16.42	18.15	19.67	20.27	21.82	22.79
28	67	20.26419582	14.13453134	19.37375522	66.48277365	7.627447432	9.322009703	188	1703	1755	1129	14.20655901	5.097555198	35.8817022	5.77	7.66	9.08	15.69	16.4	17.94	18.91	13.79680342	5.542328986	40.17110933	5.08	7.225	8.16	15.51	16.34	17.91	18.89
29	65	20.76344492	14.71668185	20.13243077	68.1207101	7.926137994	10.27729476	497	1585	1758	1388	16.78641009	3.752213074	22.35268323	14.31	15.97	16.33	17.16	17.65	18.73	19.6	15.17114334	6.050921293	39.88441184	1.08	14.72	15.65	16.86	17.38	18.61	19.5
30	67	19.95302687	13.65367522	21.24122388	65.46189054	8.362669842	10.96966499	216	1603	1743	1127	14.26121023	5.922464009	41.52848119	2.28	10.92	14.3	15.87	16.64	18.07	19.1	13.15171543	6.809080719	51.77332762	1.29	2.87	6.4	15.5	16.36	17.94	19.01
31	32	17.482185	11.8405275	17.6609375	57.35555255	6.953111094	6.781762031	126	1708	1751	352	12.41486534	3.373788578	27.17539406	7.07	9.5	10.57	12.52	13.21	14.685	16.11	12.1179783	3.821830918	31.53851925	6.31	9.14	10.17	12.41	13.12	14.63	16.05
